model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI_BAG_L1,-0.0558793058543314,0.7706887722015381,256.7929286956787,0.7706887722015381,256.7929286956787,1,True,3
WeightedEnsemble_L2,-0.0558793058543314,0.7714741230010986,257.7186155319214,0.0007853507995605469,0.9256868362426758,2,True,14
NeuralNetTorch_BAG_L1,-0.08042776361387412,0.3066060543060303,215.56737542152405,0.3066060543060303,215.56737542152405,1,True,12
LightGBMXT_BAG_L1,-0.10291524967782337,0.277113676071167,167.86330461502075,0.277113676071167,167.86330461502075,1,True,4
ExtraTreesEntr_BAG_L1,-0.10930264029928964,0.09609103202819824,0.6676666736602783,0.09609103202819824,0.6676666736602783,1,True,10
ExtraTreesGini_BAG_L1,-0.11234340356594977,0.09507966041564941,0.6127831935882568,0.09507966041564941,0.6127831935882568,1,True,9
CatBoost_BAG_L1,-0.12158250517591282,0.11099982261657715,1231.773612499237,0.11099982261657715,1231.773612499237,1,True,8
LightGBM_BAG_L1,-0.12203962021955737,0.17067694664001465,156.016859292984,0.17067694664001465,156.016859292984,1,True,5
LightGBMLarge_BAG_L1,-0.1410141154433842,0.19480037689208984,176.7737181186676,0.19480037689208984,176.7737181186676,1,True,13
RandomForestGini_BAG_L1,-0.14632434199945313,0.09382939338684082,0.6289074420928955,0.09382939338684082,0.6289074420928955,1,True,6
RandomForestEntr_BAG_L1,-0.1505187307933033,0.09210681915283203,0.624619722366333,0.09210681915283203,0.624619722366333,1,True,7
XGBoost_BAG_L1,-0.16878459234204557,0.4313671588897705,157.73354148864746,0.4313671588897705,157.73354148864746,1,True,11
KNeighborsDist_BAG_L1,-0.29895106829981244,0.0017004013061523438,0.0029494762420654297,0.0017004013061523438,0.0029494762420654297,1,True,2
KNeighborsUnif_BAG_L1,-0.3065191642002063,0.0012464523315429688,0.11208319664001465,0.0012464523315429688,0.11208319664001465,1,True,1
